date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:37	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202024%2016:46:37%20GMT	https://fhs-news.org/robots.txt		(from )
12:46:37	21734/21734	U-----	200	untouched ('OK')	text/html	etag:W/%2254e6-18f4e3feaf3%22	https://fhs-news.org/	C:/Users/CSAIn/Schedlink/fhs-news.org/index.html	(from )
12:46:52	7406/7406	U-----	200	untouched ('')	image/x-icon	etag:W/%221cee-18f0b751e14%22	https://fhs-news.org/img/favicon.ico	C:/Users/CSAIn/Schedlink/fhs-news.org/img/favicon.ico	(from https://fhs-news.org/)
12:46:52	6778/6778	U-----	200	untouched ('OK')	text/css	etag:W/%221a7a-18f4e3feaf2%22	https://fhs-news.org/css/global.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/global.css	(from https://fhs-news.org/)
12:46:52	13957/13957	U-----	200	untouched ('OK')	text/css	etag:W/%223685-18f4e3feaf2%22	https://fhs-news.org/css/home.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/home.css	(from https://fhs-news.org/)
12:46:53	6355/6355	U-----	200	untouched ('')	application/javascript	etag:W/%2218d3-18f0b751e74%22	https://fhs-news.org/js/DOM.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/DOM.js	(from https://fhs-news.org/)
12:46:53	13896/13896	U-----	200	untouched ('')	application/javascript	etag:W/%223648-18f4e3feaf3%22	https://fhs-news.org/js/clockv4.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/clockv4.js	(from https://fhs-news.org/)
12:46:53	89476/89476	U-----	200	untouched ('')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/CSAIn/Schedlink/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://fhs-news.org/)
12:47:08	35222/35222	U-----	200	untouched ('')	application/javascript	etag:W/%228996-18f0b751e75%22	https://fhs-news.org/js/themes.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/themes.js	(from https://fhs-news.org/)
12:47:27	15552/15552	U-----	200	untouched ('')	application/javascript	etag:%225eb03e22-3cc0%22	https://cdnjs.cloudflare.com/ajax/libs/chess.js/0.10.2/chess.min.js	C:/Users/CSAIn/Schedlink/cdnjs.cloudflare.com/ajax/libs/chess.js/0.10.2/chess.min.js	(from https://fhs-news.org/)
12:47:43	5880/5880	U-----	200	untouched ('OK')	text/html	etag:W/%2216f8-18f0b751d9f%22	https://fhs-news.org/info	C:/Users/CSAIn/Schedlink/fhs-news.org/info.html	(from https://fhs-news.org/)
12:47:47	10207/10207	U-----	200	untouched ('')	application/javascript	etag:W/%2227df-MQoV3Uj2/rsuVx77XgVydX0G9ZE%22	https://cdn.jsdelivr.net/npm/canvas-confetti@1.9.0/dist/confetti.browser.min.js	C:/Users/CSAIn/Schedlink/cdn.jsdelivr.net/npm/canvas-confetti@1.9.0/dist/confetti.browser.min.js	(from https://fhs-news.org/)
12:47:58	8328/8328	U-----	200	untouched ('')	image/png	etag:W/%222088-18f0b751e64%22	https://fhs-news.org/img/questionmark_white.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/questionmark_white.png	(from https://fhs-news.org/)
12:48:03	2304/2304	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22900-18f0b751e6e%22	https://fhs-news.org/img/snowflake.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/snowflake.svg	(from https://fhs-news.org/)
12:48:14	1756/1756	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%226dc-18f0b751e71%22	https://fhs-news.org/img/tree.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/tree.svg	(from https://fhs-news.org/)
