date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:05	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202024%2016:39:06%20GMT	https://fhs-news.org/robots.txt		(from )
12:39:06	21734/21734	---M-Z	200	added ('OK')	text/html	etag:W/%2254e6-18f4e3feaf3%22	https://fhs-news.org/	C:/Users/CSAIn/Schedlink/fhs-news.org/index.html	(from )
12:39:06	7406/7406	---M--	200	added ('OK')	image/x-icon	etag:W/%221cee-18f0b751e14%22	https://fhs-news.org/img/favicon.ico	C:/Users/CSAIn/Schedlink/fhs-news.org/img/favicon.ico	(from https://fhs-news.org/)
12:39:06	6778/6778	---M-Z	200	added ('OK')	text/css	etag:W/%221a7a-18f4e3feaf2%22	https://fhs-news.org/css/global.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/global.css	(from https://fhs-news.org/)
12:39:06	13957/13957	---M-Z	200	added ('OK')	text/css	etag:W/%223685-18f4e3feaf2%22	https://fhs-news.org/css/home.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/home.css	(from https://fhs-news.org/)
12:39:07	6355/6355	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218d3-18f0b751e74%22	https://fhs-news.org/js/DOM.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/DOM.js	(from https://fhs-news.org/)
12:39:07	13896/13896	---M-Z	200	added ('OK')	application/javascript	etag:W/%223648-18f4e3feaf3%22	https://fhs-news.org/js/clockv4.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/clockv4.js	(from https://fhs-news.org/)
12:39:07	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/CSAIn/Schedlink/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://fhs-news.org/)
12:39:08	15552/15552	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e22-3cc0%22	https://cdnjs.cloudflare.com/ajax/libs/chess.js/0.10.2/chess.min.js	C:/Users/CSAIn/Schedlink/cdnjs.cloudflare.com/ajax/libs/chess.js/0.10.2/chess.min.js	(from https://fhs-news.org/)
12:39:08	14470/14470	---M-Z	200	added ('OK')	application/javascript	etag:%225ecbb529-3886%22	https://cdnjs.cloudflare.com/ajax/libs/chessboard-js/1.0.0/chessboard-1.0.0.min.js	C:/Users/CSAIn/Schedlink/cdnjs.cloudflare.com/ajax/libs/chessboard-js/1.0.0/chessboard-1.0.0.min.js	(from https://fhs-news.org/)
